Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Africa,,1971,164,0,0,2601339
Africa,,1972,165,0,0,29633196
Africa,,1973,0.17,0,0,31345707
Africa,,1974,175,0,0,35667076
Africa,,1975,172,0,0,37717968
Africa,,1976,185,0,0,41797634
Africa,,1977,189,0,0,4592877
Africa,,1978,195,0,0,46306942
Africa,,1979,201,0,0,4956523
Africa,,1980,207,0,0,48311787
Africa,,1981,218,0,0,50192905
Africa,,1982,236,0,0,50206238
Africa,,1983,0.23,0,0,4524716
Africa,,1984,234,0,0,44489975
Africa,,1985,269,0,0,49449684
Africa,,1986,659,0,0,5114537
Africa,,1987,658,0,0,4905646
Africa,,1988,626,0,0,53593452
Africa,,1989,617,0,0,5627621
Africa,,1990,796,0,0,57254658
Africa,,1991,812,0,0,6065149
Africa,,1992,84225,0,0,5786029
Africa,,1993,9377,0,2,56682507
Africa,,1994,835,0,54,5759605
Africa,,1995,1.0187,0,63,5976888
Africa,,1996,1258093,0,71,6231646
Africa,,1997,13866404,0,72,63852497
Africa,,1998,17125492,0,76,66654884
Africa,,1999,16961248,0,198,7068426
Africa,,2000,22690632,11941,1755,7525581
Africa,,2001,23353527,1496,41558,8086911
Africa,,2002,2864-02-01 00:00:00,16799714,44358402,8502647
Africa,,2003,6224-02-01 00:00:00,20059295,535599,8257461
Africa,,2004,29788496,2456688,7682805,8721947
Africa,,2005,30096693,29383464,7803821,8883774
Africa,,2006,37704048,3791205,8525656,92049355
Africa,,2007,31420484,50479364,10162233,9519856
Africa,,2008,32673957,7265389,13117782,9696721
Africa,,2009,35627222,9582155,15892309,9956114
Africa,,2010,3764553,21605176,22845824,10769848
Africa,,2011,38587685,6020893,2386504,11075051
Africa,,2012,40424066,99265915,25156302,11122693
Africa,,2013,4433249,7875202,35934472,11765244
Africa,,2014,5462047,19041501,5060073,12408204
Africa,,2015,71696815,32586064,89106865,1204148
Africa,,2016,7231852,53840914,11176371,11742635
Africa,,2017,76260357,77734146,12457454,12634168
Africa,,2018,817267,10053543,14769322,13460007
Africa,,2019,8262966,12894289,19331635,1394176
Africa,,2020,8066416,16058805,21302898,14637308
Africa,,2021,8026317,16515236,2441597,1534187
Africa,,1965,,,0,13905635
Africa,,1966,,,0,15510005
Africa,,1967,,,0,16190636
Africa,,1968,,,0,18938341
Africa,,1969,,,0,22100891
Africa,,1970,,,0,27630428
Africa (BP),,1971,164,0,0,26013391
Africa (BP),,1972,165,0,0,29633196
Africa (BP),,1973,0.17,0,0,31345707
Africa (BP),,1974,175,0,0,35667076
Africa (BP),,1975,172,0,0,3771797
Africa (BP),,1976,185,0,0,41797634
Africa (BP),,1977,189,0,0,4592877
Africa (BP),,1978,195,0,0,4630694
Africa (BP),,1979,201,0,0,4956523
Africa (BP),,1980,207,0,0,48311783
Africa (BP),,1981,218,0,0,50192905
Africa (BP),,1982,236,0,0,50206238
Africa (BP),,1983,0.23,0,0,4524716
Africa (BP),,1984,234,0,0,44489975
Africa (BP),,1985,269,0,0,49449684
Africa (BP),,1986,659,0,0,51145374
Africa (BP),,1987,658,0,0,4905646
Africa (BP),,1988,626,0,0,53593456
Africa (BP),,1989,617,0,0,56276215
Africa (BP),,1990,796,0,0,57254658
Africa (BP),,1991,812,0,0,6065149
Africa (BP),,1992,84225,0,0,5786029
Africa (BP),,1993,9377,0,2,56682507
Africa (BP),,1994,835,0,54,5759605
Africa (BP),,1995,1.0187,0,63,59768875
Africa (BP),,1996,12580931,0,71,6231646
Africa (BP),,1997,13866404,0,72,63852497
Africa (BP),,1998,17125493,0,76,66654884
Africa (BP),,1999,16961248,0,198,7068426
Africa (BP),,2000,22690632,11941,1755,7525581
Africa (BP),,2001,23353527,1496,41558,8086912
Africa (BP),,2002,2864-02-01 00:00:00,16799713,443584,8502647
Africa (BP),,2003,6224-02-01 00:00:00,20059297,535599,825746
Africa (BP),,2004,29788496,2456688,7682805,8721947
Africa (BP),,2005,30096693,29383464,7803821,8883773
Africa (BP),,2006,37704048,3791205,8525656,92049355
Africa (BP),,2007,31420484,50479364,10162233,9519856
Africa (BP),,2008,32673957,7265389,13117782,9696721
Africa (BP),,2009,35627222,9582156,15892309,99561134
Africa (BP),,2010,3764553,21605176,22845824,10769849
Africa (BP),,2011,38587687,6020893,2386504,11075051
Africa (BP),,2012,4042407,99265915,25156302,11122693
Africa (BP),,2013,4433249,7875202,35934472,11765245
Africa (BP),,2014,5462047,19041501,5060073,12408205
Africa (BP),,2015,71696815,32586064,89106865,1204148
Africa (BP),,2016,7231852,53840914,11176371,11742635
Africa (BP),,2017,76260357,77734146,12457454,12634168
Africa (BP),,2018,817267,10053543,14769322,13460008
Africa (BP),,2019,8262966,12894289,19331633,1394176
Africa (BP),,2020,8066416,16058805,21302898,14637308
Africa (BP),,2021,8026318,16515236,2441597,15341869
Africa (BP),,1965,,,0,13905635
Africa (BP),,1966,,,0,15510004
Africa (BP),,1967,,,0,16190636
Africa (BP),,1968,,,0,18938341
Africa (BP),,1969,,,0,2210089
Africa (BP),,1970,,,0,2763043
Algeria,DZA,1965,0,0,0,0.4
Algeria,DZA,1966,0,0,0,355
Algeria,DZA,1967,0,0,0,0.41
Algeria,DZA,1968,0,0,0,563
Algeria,DZA,1969,0,0,0,361
Algeria,DZA,1970,0,0,0,0.58
Algeria,DZA,1971,0,0,0,0.33
Algeria,DZA,1972,0,0,0,495
Algeria,DZA,1973,0,0,0,752
Algeria,DZA,1974,0,0,0,497
Algeria,DZA,1975,0,0,0,328
Algeria,DZA,1976,0,0,0,389
Algeria,DZA,1977,0,0,0,269
Algeria,DZA,1978,0,0,0,0.25
Algeria,DZA,1979,0,0,0,291
Algeria,DZA,1980,0,0,0,257
Algeria,DZA,1981,0,0,0,366
Algeria,DZA,1982,0,0,0,479
Algeria,DZA,1983,0,0,0,235
Algeria,DZA,1984,0,0,0,452
Algeria,DZA,1985,0,0,0,646
Algeria,DZA,1986,0,0,0,0.25
Algeria,DZA,1987,0,0,0,499
Algeria,DZA,1988,0,0,0,183
Algeria,DZA,1989,0,0,0,226
Algeria,DZA,1990,0,0,0,135
Algeria,DZA,1991,0,0,0,293
Algeria,DZA,1992,0,0,0,199
Algeria,DZA,1993,0,0,0,353
Algeria,DZA,1994,0,0,0,166
Algeria,DZA,1995,0,0,0,193
Algeria,DZA,1996,0,0,0,135
Algeria,DZA,1997,0,0,0,75
Algeria,DZA,1998,0,0,0,215
Algeria,DZA,1999,0,0,0,203
Algeria,DZA,2000,0,0,0,54
Algeria,DZA,2001,0,0,0,69
Algeria,DZA,2002,0,0,0,57
Algeria,DZA,2003,0,0,0,265
Algeria,DZA,2004,0,0,0,251
